Intensity,Gray
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,6
14,20
15,31
16,53
17,73
18,110
19,142
20,186
21,160
22,147
23,146
24,141
25,134
26,147
27,118
28,114
29,136
30,119
31,94
32,97
33,117
34,109
35,111
36,108
37,99
38,90
39,110
40,106
41,92
42,90
43,110
44,80
45,110
46,88
47,94
48,108
49,90
50,93
51,97
52,107
53,104
54,90
55,81
56,93
57,74
58,94
59,79
60,70
61,72
62,85
63,75
64,79
65,94
66,86
67,69
68,84
69,69
70,77
71,66
72,77
73,75
74,71
75,85
76,90
77,91
78,84
79,81
80,90
81,80
82,77
83,73
84,66
85,84
86,90
87,81
88,89
89,87
90,79
91,96
92,83
93,101
94,84
95,92
96,84
97,84
98,88
99,90
100,84
101,68
102,92
103,77
104,77
105,79
106,73
107,91
108,77
109,70
110,97
111,98
112,84
113,77
114,89
115,77
116,87
117,85
118,87
119,81
120,79
121,64
122,75
123,74
124,68
125,92
126,72
127,72
128,74
129,66
130,67
131,65
132,67
133,54
134,62
135,65
136,64
137,55
138,72
139,51
140,52
141,60
142,40
143,51
144,43
145,61
146,51
147,44
148,42
149,39
150,53
151,50
152,52
153,41
154,52
155,57
156,73
157,51
158,93
159,102
160,92
161,121
162,112
163,142
164,158
165,162
166,128
167,124
168,117
169,142
170,138
171,134
172,113
173,126
174,119
175,112
176,108
177,130
178,105
179,101
180,102
181,79
182,85
183,91
184,95
185,87
186,68
187,62
188,56
189,55
190,49
191,41
192,40
193,33
194,37
195,24
196,24
197,34
198,38
199,41
200,46
201,34
202,35
203,40
204,40
205,36
206,55
207,42
208,42
209,48
210,52
211,51
212,40
213,42
214,50
215,39
216,49
217,44
218,41
219,32
220,58
221,55
222,60
223,85
224,76
225,80
226,72
227,100
228,109
229,106
230,139
231,152
232,167
233,182
234,193
235,198
236,158
237,163
238,175
239,162
240,173
241,176
242,176
243,210
244,282
245,336
246,577
247,924
248,1409
249,1887
250,2255
251,2497
252,2345
253,1804
254,1216
255,569
